1,1,go,0.0,True,350,correcto,alta_go
1,2,go,1.0,True,400,correcto,alta_go
1,3,nogo,2.0,False,0,correcto,alta_go
1,4,go,3.0,True,380,correcto,alta_go
1,5,go,4.0,True,410,correcto,alta_go
1,6,nogo,5.0,True,300,incorrecto,alta_go
1,7,go,6.0,True,390,correcto,alta_go
1,8,go,7.0,True,370,correcto,alta_go
2,1,go,0.0,True,300,correcto,balanceada
2,2,nogo,1.0,False,0,correcto,balanceada
2,3,go,2.0,True,310,correcto,balanceada
2,4,nogo,3.0,True,280,incorrecto,balanceada
2,5,go,4.0,True,320,correcto,balanceada
2,6,nogo,5.0,False,0,correcto,balanceada
3,1,go,0.0,True,350,correcto,alta_go
3,2,go,1.0,True,360,correcto,alta_go
1,3,go,2.0,True,340,correcto,alta_go
3,4,go,3.0,True,330,correcto,alta_go
3,5,go,4.0,True,350,correcto,alta_go
3,6,go,5.0,True,380,correcto,alta_go
3,7,go,6.0,True,370,correcto,alta_go
3,8,nogo,7.0,False,0,correcto,alta_go
3,9,go,8.0,True,360,correcto,alta_go
3,10,go,9.0,True,350,correcto,alta_go
4,1,go,0.0,True,450,correcto,balanceada
4,2,nogo,1.0,False,0,correcto,balanceada
4,3,go,2.0,False,0,incorrecto,balanceada
4,4,nogo,3.0,False,0,correcto,balanceada
4,5,go,4.0,True,440,correcto,balanceada
4,6,nogo,5.0,False,0,correcto,balanceada
4,7,go,6.0,True,460,correcto,balanceada
4,8,go,7.0,True,430,correcto,balanceada
4,9,nogo,8.0,False,0,correcto,balanceada
5,1,go,0.0,True,310,correcto,alta_go
5,2,go,1.0,True,300,correcto,alta_go
5,3,go,2.0,True,320,correcto,alta_go
5,4,nogo,3.0,False,0,correcto,alta_go
5,5,go,4.0,True,310,correcto,alta_go
5,6,go,5.0,True,310,correcto,alta_go
5,7,go,6.0,True,300,correcto,alta_go
5,8,go,7.0,True,310,correcto,alta_go
5,9,go,8.0,True,320,correcto,alta_go
5,10,go,9.0,True,330,correcto,alta_go
6,1,go,0.0,True,340,correcto,balanceada
6,2,nogo,1.0,False,0,correcto,balanceada
6,3,go,2.0,True,350,correcto,balanceada
6,4,go,3.0,True,360,correcto,balanceada
7,1,go,0.0,True,280,correcto,alta_go
7,2,go,1.0,True,290,correcto,alta_go
7,3,go,2.0,True,300,correcto,alta_go
